"m" "s"
"V1" 17.2945891783567 11.2047120924127
"V2" 20.1102204408818 11.0470823235348
"V3" 17.3567134268537 11.7642936225594
"V4" 15.6833667334669 12.5004395058387
"V5" 15.0300601202405 11.6555784167629
"V6" 16.0541082164329 11.5738886182347
"V7" 19.2424849699399 11.3909760767548
"V8" 15.8496993987976 12.2999434692688
"V9" 15.6713426853707 12.2730072610473
"V10" 13.8817635270541 10.5731363817925
"V11" 15.8577154308617 11.4220685601142
"V12" 18.9178356713427 10.8271960925234
"V13" 15.1102204408818 11.2906950597042
"V14" 14.3186372745491 11.6481496775383
"V15" 13.8977955911824 11.2363962886918
"V16" 14.1923847695391 10.6813588946159
"V17" 17.9659318637275 10.8459846586758
"V18" 14.0280561122244 10.2619904610044
"V19" 14 11.0151410945722
"V20" 12.0440881763527 9.93098979727877
"V21" 12.4549098196393 9.9091997609035
"V22" 14.7715430861723 10.354941384089
"V23" 13.0721442885772 10.1228798470005
"V24" 12.4689378757515 10.0369066476861
"V25" 10.8857715430862 9.09637036245753
"V26" 12.0120240480962 9.45098620634444
"V27" 14.1362725450902 9.58084743035828
"V28" 11.1943887775551 8.78138596892857
"V29" 11.8016032064128 9.28199002315936
"V30" 10.2184368737475 8.64019633645283
"V31" 11.3567134268537 8.91734749606082
"V32" 14.2024048096192 9.42573563162292
"V33" 10.5771543086172 7.93013918846512
"V34" 10.4669338677355 8.39106959890633
"V35" 8.72945891783567 7.55096166033167
"V36" 10.5490981963928 8.34419538210099
"V37" 12.5651302605210 9.06055412750545
"V38" 9.95190380761523 7.61957499307316
"V39" 12.3927855711423 7.49042414497328
"V40" 9.43486973947896 7.68488754108625
"V41" 9.38476953907816 7.63474990562755
"V42" 10.8997995991984 7.98630730547163
"V43" 10.9859719438878 6.65936876713712
"V44" 11.7615230460922 6.94595043133394
"V45" 8.87374749498998 6.91646166418765
"V46" 8.7434869739479 7.07123341670069
"V47" 9.95190380761523 7.8916922525655
"V48" 10.7515030060120 6.17567230828582
"V49" 10.2985971943888 6.43667157777002
"V50" 9.44689378757515 6.92375903157024
