10/10/18 05:07:53 INFO input.FileInputFormat: Total input paths to process : 1
10/10/18 05:07:53 INFO mapred.JobClient: Running job: job_201010172132_0008
10/10/18 05:07:54 INFO mapred.JobClient:  map 0% reduce 0%
10/10/18 05:08:45 INFO mapred.JobClient:  map 1% reduce 0%
10/10/18 05:09:18 INFO mapred.JobClient:  map 2% reduce 0%
10/10/18 05:11:10 INFO mapred.JobClient:  map 3% reduce 0%
10/10/18 05:11:46 INFO mapred.JobClient:  map 4% reduce 0%
10/10/18 05:12:22 INFO mapred.JobClient:  map 5% reduce 0%
10/10/18 05:14:34 INFO mapred.JobClient:  map 6% reduce 0%
10/10/18 05:14:49 INFO mapred.JobClient:  map 6% reduce 1%
10/10/18 05:15:22 INFO mapred.JobClient:  map 7% reduce 1%
10/10/18 05:16:01 INFO mapred.JobClient:  map 8% reduce 1%
10/10/18 05:17:41 INFO mapred.JobClient:  map 8% reduce 2%
10/10/18 05:18:02 INFO mapred.JobClient:  map 9% reduce 2%
10/10/18 05:18:38 INFO mapred.JobClient:  map 10% reduce 2%
10/10/18 05:19:17 INFO mapred.JobClient:  map 11% reduce 2%
10/10/18 05:21:11 INFO mapred.JobClient:  map 11% reduce 3%
10/10/18 05:21:29 INFO mapred.JobClient:  map 12% reduce 3%
10/10/18 05:22:08 INFO mapred.JobClient:  map 13% reduce 3%
10/10/18 05:22:44 INFO mapred.JobClient:  map 14% reduce 3%
10/10/18 05:27:18 INFO mapred.JobClient:  map 14% reduce 4%
10/10/18 05:28:08 INFO mapred.JobClient:  map 15% reduce 4%
10/10/18 05:29:17 INFO mapred.JobClient:  map 16% reduce 4%
10/10/18 05:30:23 INFO mapred.JobClient:  map 17% reduce 4%
10/10/18 05:36:12 INFO mapred.JobClient:  map 17% reduce 5%
10/10/18 05:36:54 INFO mapred.JobClient:  map 18% reduce 5%
10/10/18 05:37:30 INFO mapred.JobClient:  map 19% reduce 5%
10/10/18 05:40:33 INFO mapred.JobClient:  map 20% reduce 5%
10/10/18 05:40:42 INFO mapred.JobClient:  map 20% reduce 6%
10/10/18 05:41:21 INFO mapred.JobClient:  map 21% reduce 6%
10/10/18 05:41:57 INFO mapred.JobClient:  map 22% reduce 6%
10/10/18 05:43:51 INFO mapred.JobClient:  map 22% reduce 7%
10/10/18 05:43:57 INFO mapred.JobClient:  map 23% reduce 7%
10/10/18 05:44:42 INFO mapred.JobClient:  map 24% reduce 7%
10/10/18 05:45:18 INFO mapred.JobClient:  map 25% reduce 7%
10/10/18 05:47:21 INFO mapred.JobClient:  map 25% reduce 8%
10/10/18 05:47:30 INFO mapred.JobClient:  map 26% reduce 8%
10/10/18 05:48:06 INFO mapred.JobClient:  map 27% reduce 8%
10/10/18 05:48:42 INFO mapred.JobClient:  map 28% reduce 8%
10/10/18 05:50:39 INFO mapred.JobClient:  map 28% reduce 9%
10/10/18 05:51:00 INFO mapred.JobClient:  map 29% reduce 9%
10/10/18 05:51:52 INFO mapred.JobClient:  map 30% reduce 9%
10/10/18 05:52:43 INFO mapred.JobClient:  map 31% reduce 9%
10/10/18 05:57:20 INFO mapred.JobClient:  map 31% reduce 10%
10/10/18 05:57:56 INFO mapred.JobClient:  map 32% reduce 10%
10/10/18 05:58:32 INFO mapred.JobClient:  map 33% reduce 10%
10/10/18 05:59:08 INFO mapred.JobClient:  map 34% reduce 10%
10/10/18 06:00:53 INFO mapred.JobClient:  map 34% reduce 11%
10/10/18 06:01:17 INFO mapred.JobClient:  map 35% reduce 11%
10/10/18 06:01:53 INFO mapred.JobClient:  map 36% reduce 11%
10/10/18 06:02:33 INFO mapred.JobClient:  map 37% reduce 11%
10/10/18 06:04:27 INFO mapred.JobClient:  map 37% reduce 12%
10/10/18 06:04:48 INFO mapred.JobClient:  map 38% reduce 12%
10/10/18 06:05:24 INFO mapred.JobClient:  map 39% reduce 12%
10/10/18 06:06:09 INFO mapred.JobClient:  map 40% reduce 12%
10/10/18 06:07:57 INFO mapred.JobClient:  map 40% reduce 13%
10/10/18 06:08:27 INFO mapred.JobClient:  map 41% reduce 13%
10/10/18 06:09:18 INFO mapred.JobClient:  map 42% reduce 13%
10/10/18 06:13:34 INFO mapred.JobClient:  map 43% reduce 13%
10/10/18 06:14:46 INFO mapred.JobClient:  map 43% reduce 14%
10/10/18 06:14:55 INFO mapred.JobClient:  map 44% reduce 14%
10/10/18 06:15:42 INFO mapred.JobClient:  map 45% reduce 14%
10/10/18 06:17:30 INFO mapred.JobClient:  map 46% reduce 14%
10/10/18 06:18:09 INFO mapred.JobClient:  map 46% reduce 15%
10/10/18 06:18:21 INFO mapred.JobClient:  map 47% reduce 15%
10/10/18 06:19:00 INFO mapred.JobClient:  map 48% reduce 15%
10/10/18 06:20:57 INFO mapred.JobClient:  map 49% reduce 15%
10/10/18 06:21:00 INFO mapred.JobClient:  map 49% reduce 16%
10/10/18 06:21:36 INFO mapred.JobClient:  map 50% reduce 16%
10/10/18 06:22:12 INFO mapred.JobClient:  map 51% reduce 16%
10/10/18 06:24:18 INFO mapred.JobClient:  map 51% reduce 17%
10/10/18 06:24:28 INFO mapred.JobClient:  map 52% reduce 17%
10/10/18 06:25:07 INFO mapred.JobClient:  map 53% reduce 17%
10/10/18 06:25:40 INFO mapred.JobClient:  map 54% reduce 17%
10/10/18 06:27:34 INFO mapred.JobClient:  map 54% reduce 18%
10/10/18 06:28:01 INFO mapred.JobClient:  map 55% reduce 18%
